Date,Time (UTC),Active Power L1 (W),
6/6/2022,21:00:35:094,14.42412949,
6/6/2022,21:00:58:646,274.7935181,
6/6/2022,21:00:58:696,1084.013672,
6/6/2022,21:00:58:746,1377.033569,
6/6/2022,21:00:58:796,1435.498779,
6/6/2022,21:00:58:846,1298.255005,
6/6/2022,21:00:58:896,1020.190308,
6/6/2022,21:00:58:946,870.9527588,
6/6/2022,21:00:58:997,836.4564819,
6/6/2022,21:00:59:047,834.9489746,
6/6/2022,21:00:59:097,837.1430054,
6/6/2022,21:00:59:147,838.4477539,
6/6/2022,21:00:59:197,838.7201538,
6/6/2022,21:00:59:247,836.3818359,
6/6/2022,21:00:59:297,832.6604614,
6/6/2022,21:00:59:347,826.6778564,
6/6/2022,21:00:59:397,819.7052002,
6/6/2022,21:00:59:447,808.9888306,
6/6/2022,21:00:59:497,792.1256104,
6/6/2022,21:00:59:547,767.7164307,
6/6/2022,21:00:59:597,730.5099487,
6/6/2022,21:00:59:647,687.8233643,
6/6/2022,21:00:59:697,601.4204102,
6/6/2022,21:00:59:747,461.2972717,
6/6/2022,21:00:59:797,322.3432922,
6/6/2022,21:00:59:847,244.5074615,
6/6/2022,21:00:59:897,208.4564667,
6/6/2022,21:00:59:947,190.4937744,
6/6/2022,21:00:59:997,180.3669128,
6/6/2022,21:01:00:047,173.2562256,
6/6/2022,21:01:00:097,169.0012512,
6/6/2022,21:01:00:147,165.5186615,
6/6/2022,21:01:00:197,162.3781128,
6/6/2022,21:01:00:247,160.6492462,
6/6/2022,21:01:00:297,158.7151794,
6/6/2022,21:01:00:347,157.0198975,
6/6/2022,21:01:00:397,156.1218872,
6/6/2022,21:01:00:447,154.934082,
6/6/2022,21:01:00:497,154.8519897,
6/6/2022,21:01:00:547,154.4801025,
6/6/2022,21:01:00:597,153.657959,
6/6/2022,21:01:00:647,153.1529846,
6/6/2022,21:01:00:697,152.7201538,
6/6/2022,21:01:00:747,152.461441,
6/6/2022,21:01:00:797,152.1940308,
6/6/2022,21:01:00:847,151.7599487,
6/6/2022,21:01:00:897,151.711441,
6/6/2022,21:01:00:947,151.592041,
6/6/2022,21:01:00:997,151.6119385,
6/6/2022,21:01:01:047,151.815918,
6/6/2022,21:01:01:097,152.0833282,
6/6/2022,21:01:01:147,151.9975128,
6/6/2022,21:01:01:197,152.1629333,
6/6/2022,21:01:01:247,151.853241,
6/6/2022,21:01:01:297,152.3594513,
6/6/2022,21:01:01:347,152.2151794,
6/6/2022,21:01:01:397,152.3370667,
6/6/2022,21:01:01:447,152.3482513,
6/6/2022,21:01:01:497,152.7997437,
6/6/2022,21:01:01:547,152.0584564,
6/6/2022,21:01:01:597,151.7947693,
6/6/2022,21:01:01:647,151.9216461,
6/6/2022,21:02:01:647,161.777359,
6/6/2022,21:03:01:647,155.1766205,
6/6/2022,21:04:01:647,154.0198975,
6/6/2022,21:05:01:647,154.7537384,
6/6/2022,21:06:01:647,155.5435333,
6/6/2022,21:07:01:647,156.0509949,
6/6/2022,21:08:01:647,154.3208923,
6/6/2022,21:09:01:647,150.1915436,
6/6/2022,21:10:01:647,150.1069641,
6/6/2022,21:11:01:647,150.7288513,
6/6/2022,21:12:01:647,150.2985077,
6/6/2022,21:13:01:647,151.1417847,
6/6/2022,21:14:01:647,148.0373077,
6/6/2022,21:15:01:647,143.5808411,
6/6/2022,21:16:01:647,141.4253693,
6/6/2022,21:17:01:647,140.0460205,
6/6/2022,21:18:01:647,139.7674103,
6/6/2022,21:19:01:647,138.3607025,
6/6/2022,21:20:01:647,137.9651794,
6/6/2022,21:21:01:647,137.6778564,
6/6/2022,21:22:01:647,136.6691589,
6/6/2022,21:23:01:647,136.1057281,
6/6/2022,21:24:01:647,135.9514923,
6/6/2022,21:25:01:647,135.5037384,
6/6/2022,21:26:01:647,134.9502563,
6/6/2022,21:27:01:647,134.7922821,
6/6/2022,21:28:01:647,135.0447693,
6/6/2022,21:29:01:648,134.396759,
6/6/2022,21:30:01:647,134.1654205,
6/6/2022,21:31:01:647,134.1902924,
6/6/2022,21:32:01:647,133.9054718,
6/6/2022,21:33:01:647,133.3258667,
6/6/2022,21:34:01:647,133.8955231,
6/6/2022,21:35:01:647,133.2674103,
6/6/2022,21:36:01:647,132.6131897,
6/6/2022,21:37:01:647,132.3445282,
6/6/2022,21:38:01:647,131.5112,
6/6/2022,21:39:01:647,130.7947693,
6/6/2022,21:40:01:647,130.3482513,
6/6/2022,21:41:01:647,130.2102051,
6/6/2022,21:42:01:647,129.6256256,
6/6/2022,21:43:01:647,129.353241,
6/6/2022,21:44:01:647,129.4863129,
6/6/2022,21:45:01:647,128.777359,
6/6/2022,21:46:01:647,128.406723,
6/6/2022,21:47:01:647,128.064682,
6/6/2022,21:48:01:647,128.2462616,
6/6/2022,21:49:01:647,127.7574615,
6/6/2022,21:50:01:647,127.9863205,
6/6/2022,21:51:01:647,127.1218872,
6/6/2022,21:52:01:647,127.3358231,
6/6/2022,21:53:01:647,127.4315948,
6/6/2022,21:54:01:647,126.788559,
6/6/2022,21:55:01:647,126.8992538,
6/6/2022,21:56:01:647,126.4875641,
6/6/2022,21:57:01:647,127.0870667,
6/6/2022,21:58:01:647,126.3694,
6/6/2022,21:59:01:647,126.2686539,
6/6/2022,22:00:01:647,126.4203949,
6/6/2022,22:01:01:647,126.0559692,
6/6/2022,22:02:01:647,125.7960205,
6/6/2022,22:03:01:647,125.6965179,
6/6/2022,22:04:01:647,125.8743744,
6/6/2022,22:05:01:647,125.6082077,
6/6/2022,22:06:01:647,125.8681564,
6/6/2022,22:06:08:940,24.72636795,
6/6/2022,22:06:08:990,16.57338333,
6/6/2022,22:06:09:040,15.14676571,
6/6/2022,22:06:09:090,15.03980064,
6/6/2022,22:06:09:140,15.06467628,
6/6/2022,22:06:09:190,15.29850769,
6/6/2022,22:06:09:240,15.12189102,
6/6/2022,22:06:09:290,15.11194038,
6/6/2022,22:06:09:340,14.89552212,
6/6/2022,22:06:09:390,14.94900513,
6/6/2022,22:06:09:440,14.77487564,
6/6/2022,22:06:09:490,14.76865673,
