Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W),,,
6/6/2022,21:00:38:322,576.3358765,-117.8898315,-0.134333581,,,
6/6/2022,21:00:58:368,757.7310181,218.5396576,-0.313445032,,,
6/6/2022,21:00:58:419,1178.508545,299.1314392,-0.179111451,,,
6/6/2022,21:00:58:469,1524.954834,433.2162781,0,,,
6/6/2022,21:00:58:519,1727.977783,384.8456726,0.179111451,,,
6/6/2022,21:00:58:570,1750.500977,398.5919495,0.223889321,,,
6/6/2022,21:00:58:620,1656.512207,314.1083679,0.179111451,,,
6/6/2022,21:00:58:670,1560.822021,278.0958252,0.179111451,,,
6/6/2022,21:00:58:720,1492.670044,260.9874268,0.179111451,,,
6/6/2022,21:00:58:770,1451.384888,245.2786102,0.358222902,,,
6/6/2022,21:00:58:820,1429.667603,210.6623077,0.447778642,,,
6/6/2022,21:00:58:870,1418.562744,205.4806976,0.223889321,,,
6/6/2022,21:00:58:920,1414.532715,230.7262115,-0.044777863,,,
6/6/2022,21:00:58:970,1411.62207,223.3564758,-0.179111451,,,
6/6/2022,21:00:59:020,1406.741333,256.9814758,-0.223889321,,,
6/6/2022,21:00:59:070,1401.726196,250.4929352,-0.134333581,,,
6/6/2022,21:00:59:120,1394.606567,223.3520813,-0.268667161,,,
6/6/2022,21:00:59:170,1385.158447,227.3516388,-0.089555725,,,
6/6/2022,21:00:59:220,1371.814575,186.328186,0,,,
6/6/2022,21:00:59:270,1352.201904,165.7968292,-0.134333581,,,
6/6/2022,21:00:59:320,1329.678589,177.1746521,-0.134333581,,,
6/6/2022,21:00:59:370,1282.527588,144.1382294,-0.089555725,,,
6/6/2022,21:00:59:420,1191.359863,115.0978012,0.044777863,,,
6/6/2022,21:00:59:470,1082.952637,67.95108795,0.044777863,,,
6/6/2022,21:00:59:520,980.2321777,57.50047302,0.134333581,,,
6/6/2022,21:00:59:570,899.5872803,80.18838501,0.134333581,,,
6/6/2022,21:00:59:621,841.1521606,58.62091064,0,,,
6/6/2022,21:00:59:671,800.9863892,53.70247269,-0.134333581,,,
6/6/2022,21:00:59:721,775.5078125,90.87326813,0,,,
6/6/2022,21:00:59:771,759.6564331,89.25199127,0.313445032,,,
6/6/2022,21:00:59:821,747.7455444,111.1747208,0.268667161,,,
6/6/2022,21:00:59:871,741.5661621,103.1969299,0.313445032,,,
6/6/2022,21:00:59:921,735.9241943,80.01150513,0.492556483,,,
6/6/2022,21:00:59:971,735.565979,103.7865219,0.268667161,,,
6/6/2022,21:01:00:021,732.0733032,59.25389099,0.134333581,,,
6/6/2022,21:01:00:071,730.192627,90.72486115,0.268667161,,,
6/6/2022,21:01:00:121,725.6700439,81.13534546,0.447778642,,,
6/6/2022,21:01:00:171,721.1474609,101.7446671,0.537334323,,,
6/6/2022,21:01:00:221,717.3413696,76.42386627,0.268667161,,,
6/6/2022,21:01:00:271,715.2815552,40.41645813,0,,,
6/6/2022,21:01:00:321,716.7144775,39.45002747,-0.089555725,,,
6/6/2022,21:01:00:371,716.4458008,69.66776276,-0.358222902,,,
6/6/2022,21:01:00:421,717.2070313,45.87059784,-0.313445032,,,
6/6/2022,21:01:00:471,719.2220459,48.69812775,-0.223889321,,,
6/6/2022,21:01:00:521,719.9384766,56.11439514,-0.268667161,,,
6/6/2022,21:01:00:571,722.9385986,42.43154144,-0.179111451,,,
6/6/2022,21:01:00:622,721.8639526,82.09988403,-0.134333581,,,
6/6/2022,21:01:00:672,724.2371216,50.86068344,0.044777863,,,
6/6/2022,21:01:00:722,723.1624756,87.80568695,-0.044777863,,,
6/6/2022,21:01:00:772,724.3267212,111.7400055,-0.268667161,,,
6/6/2022,21:01:00:822,722.5355835,93.36985016,-0.582112193,,,
6/6/2022,21:01:00:872,722.4012451,105.2205658,-0.537334323,,,
6/6/2022,21:01:00:922,719.7145996,82.1439743,-0.492556483,,,
6/6/2022,21:01:00:972,721.4161377,97.62197876,-0.403000772,,,
6/6/2022,21:01:01:022,720.3414917,103.107048,-0.179111451,,,
6/6/2022,21:01:01:072,721.4609375,84.78954315,-0.268667161,,,
