Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W)
6/1/2022,21:00:48:390,155.3791809,108.4438629,-0.268667161
6/1/2022,21:01:48:392,154.6179657,108.6886444,0
6/1/2022,21:02:48:391,154.0806274,106.1589203,-0.492556483
6/1/2022,21:03:48:392,153.7223969,107.9772568,-0.223889321
6/1/2022,21:04:48:393,153.9910736,105.7549591,-0.179111451
6/1/2022,21:05:48:393,153.319397,110.7248077,-0.358222902
6/1/2022,21:06:48:393,152.9163971,111.5769958,0.089555725
6/1/2022,21:07:48:393,153.0507355,106.4340515,0.089555725
6/1/2022,21:08:48:394,152.1999512,106.5144806,-0.089555725
6/1/2022,21:09:48:393,151.7073975,109.6615677,0
6/1/2022,21:10:48:394,151.6626282,110.5363007,-0.358222902
6/1/2022,21:11:48:394,151.1252899,105.9754181,-0.044777863
6/1/2022,21:12:48:394,150.408844,108.4868011,-0.089555725
6/1/2022,21:13:46:307,46.97197723,-103.7603683,0.044777863
6/1/2022,21:13:46:358,40.16574097,-89.9733963,0.134333581
6/1/2022,21:13:46:408,36.49395752,-81.18057251,0
6/1/2022,21:13:46:458,34.56850815,-72.49390411,-0.044777863
6/1/2022,21:13:46:508,33.67295456,-67.72543335,-0.223889321
6/1/2022,21:13:46:559,33.22517395,-65.71968079,-0.403000772
6/1/2022,21:13:46:608,32.86695099,-63.95563126,-0.447778642
6/1/2022,21:13:46:658,32.64306259,-63.16989136,-0.179111451
6/1/2022,21:13:46:708,32.46395111,-62.11087036,-0.403000772
6/1/2022,21:13:46:758,32.46395111,-62.45118332,-0.403000772
6/1/2022,21:13:46:808,32.28483963,-61.49074554,-0.179111451
6/1/2022,21:13:46:858,32.24006271,-61.93756866,-0.223889321
6/1/2022,21:13:46:908,32.19528198,-62.26440811,-0.358222902
6/1/2022,21:13:46:958,32.10572815,-61.69804382,-0.223889321
6/1/2022,21:13:47:008,32.24006271,-61.31686401,0.044777863
