Date,Time (UTC),Active Power L1 (W)
6/1/2022,21:00:50:680,131.6679077
6/1/2022,21:01:50:680,130.5049744
6/1/2022,21:02:50:680,130.6480103
6/1/2022,21:03:50:680,130.3818359
6/1/2022,21:04:50:680,130.1107025
6/1/2022,21:05:50:680,129.4950256
6/1/2022,21:06:50:680,129.2612
6/1/2022,21:07:50:680,129.1044769
6/1/2022,21:08:50:680,127.8171616
6/1/2022,21:09:50:680,127.8109436
6/1/2022,21:10:50:680,127.243782
6/1/2022,21:11:50:680,126.934082
6/1/2022,21:12:50:680,126.9850769
6/1/2022,21:13:48:697,25.1256218
6/1/2022,21:13:48:747,16.68034744
6/1/2022,21:13:48:797,15.08582115
6/1/2022,21:13:48:847,14.83333302
6/1/2022,21:13:48:897,14.94651699
6/1/2022,21:13:48:947,14.73631859
6/1/2022,21:13:48:997,14.76243782
6/1/2022,21:13:49:047,14.50497532
6/1/2022,21:13:49:097,14.79353237
6/1/2022,21:13:49:147,14.69154263
6/1/2022,21:13:49:197,14.76119423
6/1/2022,21:13:49:247,14.78855705
6/1/2022,21:13:49:297,14.92288589
6/1/2022,21:13:49:347,15.04975128
6/1/2022,21:13:49:397,14.92288589
6/1/2022,21:13:49:447,14.91417885
6/1/2022,21:13:49:497,14.85696507
6/1/2022,21:13:49:547,14.96019936
6/1/2022,21:13:49:597,14.94900513
6/1/2022,21:13:49:647,14.84701538
6/1/2022,21:13:49:697,14.59079647
6/1/2022,21:13:49:747,14.55721378
6/1/2022,21:13:49:797,14.55845737
6/1/2022,21:13:49:847,14.85696507
6/1/2022,21:13:49:897,14.83208942
6/1/2022,21:13:49:947,14.81716442
6/1/2022,21:13:49:997,14.70522404
6/1/2022,21:13:50:047,14.68905449
6/1/2022,21:13:50:097,14.73383045
6/1/2022,21:13:50:147,14.8756218
6/1/2022,21:13:50:197,15.02363205
6/1/2022,21:13:50:247,15.03358173
6/1/2022,21:13:50:297,14.94776154
6/1/2022,21:13:50:347,14.93159199
6/1/2022,21:13:50:397,15.00497532
6/1/2022,21:13:50:447,15.08208942
6/1/2022,21:13:50:497,14.99129391
6/1/2022,21:13:50:547,14.82711411
6/1/2022,21:13:50:597,14.69278622
6/1/2022,21:13:50:647,14.72139263
6/1/2022,21:13:50:697,14.6243782
6/1/2022,21:13:50:747,14.88184071
6/1/2022,21:13:50:797,14.75870609
6/1/2022,21:13:50:847,14.81716442
6/1/2022,21:13:50:897,14.70024872
6/1/2022,21:13:50:947,14.67786026
6/1/2022,21:13:50:997,14.79104519
6/1/2022,21:13:51:047,14.81467628
6/1/2022,21:13:51:097,15.07338333
6/1/2022,21:13:51:147,14.9925375
6/1/2022,21:13:51:197,15.37935352
6/1/2022,21:13:51:247,14.97388077
6/1/2022,21:13:51:297,14.82213974
6/1/2022,21:13:51:347,14.98009968
6/1/2022,21:13:51:397,14.94278622
6/1/2022,21:13:51:447,14.90795994
6/1/2022,21:13:51:497,14.6169157
6/1/2022,21:13:51:547,14.6330843
6/1/2022,21:13:51:597,14.56716442
6/1/2022,21:13:51:647,14.85198975
6/1/2022,21:13:51:697,14.97761154
6/1/2022,21:14:51:697,14.77611923
6/1/2022,21:15:51:697,14.8196516
6/1/2022,21:16:51:697,14.84452724
6/1/2022,21:17:51:697,14.9303484
6/1/2022,21:18:51:697,14.76865673
6/1/2022,21:19:51:697,14.70895481
6/1/2022,21:20:51:697,14.91915417
6/1/2022,21:21:51:697,15.0696516
6/1/2022,21:22:51:697,15.02238846
6/1/2022,21:23:51:697,15.21890545
6/1/2022,21:24:51:698,15.04975128
6/1/2022,21:25:51:697,14.95024872
6/1/2022,21:26:51:697,14.98880577
6/1/2022,21:27:51:697,15.05721378
6/1/2022,21:28:51:697,15.17039776
6/1/2022,21:29:51:697,15.22139263
6/1/2022,21:30:51:697,14.77860737
6/1/2022,21:31:51:697,14.76616955
6/1/2022,21:32:51:697,15.014925
6/1/2022,21:33:51:697,15.0547266
6/1/2022,21:34:48:926,15.02860737
6/1/2022,21:35:48:926,14.92786026
6/1/2022,21:36:48:926,14.8830843
6/1/2022,21:37:48:926,15.15049744
6/1/2022,21:38:48:926,15.33457756
6/1/2022,21:39:48:926,15.2425375
6/1/2022,21:40:48:926,15.1256218
6/1/2022,21:41:48:927,14.8830843
6/1/2022,21:42:48:926,15.03109455
6/1/2022,21:43:48:926,14.90671635
6/1/2022,21:44:48:926,15.09825897
6/1/2022,21:45:48:926,15.05099487
6/1/2022,21:46:48:926,15.08457756
6/1/2022,21:47:48:926,14.84950256
6/1/2022,21:48:18:694,150.7549744
6/1/2022,21:48:18:744,1008.655457
6/1/2022,21:48:18:794,1447.577148
6/1/2022,21:48:18:844,1505.962646
6/1/2022,21:48:18:894,1352.442749
6/1/2022,21:48:18:944,1055.092041
6/1/2022,21:48:18:994,907.1741333
6/1/2022,21:48:19:044,876.9266357
6/1/2022,21:48:19:094,874.5808716
6/1/2022,21:48:19:144,877.4440308
6/1/2022,21:48:19:194,879.2698975
6/1/2022,21:48:19:244,879.4726563
6/1/2022,21:48:19:294,876.2512207
6/1/2022,21:48:19:344,871.6306152
6/1/2022,21:48:19:394,865.1815796
6/1/2022,21:48:19:444,856.7810669
6/1/2022,21:48:19:494,844.833313
6/1/2022,21:48:19:544,825.276123
6/1/2022,21:48:19:594,797.4030151
6/1/2022,21:48:19:644,752.5808716
6/1/2022,21:48:19:694,682.842041
6/1/2022,21:48:19:744,524.2786255
6/1/2022,21:48:19:794,391.75
6/1/2022,21:48:19:844,263.7039795
6/1/2022,21:48:19:894,218.5310974
6/1/2022,21:48:19:944,196.9228821
6/1/2022,21:48:19:994,185.9017487
6/1/2022,21:48:20:044,177.7574615
6/1/2022,21:48:20:094,172.7251282
6/1/2022,21:48:20:144,168.2350769
6/1/2022,21:48:20:194,165.3743744
6/1/2022,21:48:20:244,163.1318359
6/1/2022,21:48:20:294,161.3072205
6/1/2022,21:48:20:344,159.6828308
6/1/2022,21:48:20:394,158.4216461
6/1/2022,21:48:20:444,157.5671692
6/1/2022,21:48:20:494,156.9116974
6/1/2022,21:48:20:544,156.2014923
6/1/2022,21:48:20:594,155.6679077
6/1/2022,21:48:20:644,155.2375641
6/1/2022,21:48:20:694,154.6492462
6/1/2022,21:48:20:744,154.6828308
6/1/2022,21:48:20:794,154.1965179
6/1/2022,21:48:20:844,153.9713898
6/1/2022,21:48:20:894,153.8917847
6/1/2022,21:48:20:944,153.8955231
6/1/2022,21:48:20:994,153.6480103
6/1/2022,21:48:21:044,153.7139282
6/1/2022,21:48:21:094,153.6430359
6/1/2022,21:48:21:144,153.7350769
6/1/2022,21:48:21:194,153.4116974
6/1/2022,21:48:21:244,153.5198975
6/1/2022,21:48:21:294,152.8208923
6/1/2022,21:48:21:345,153.2562256
6/1/2022,21:48:21:395,153.406723
6/1/2022,21:48:21:444,153.6243744
6/1/2022,21:48:21:494,153.9166718
6/1/2022,21:48:21:545,153.814682
6/1/2022,21:48:21:594,153.5671692
6/1/2022,21:48:21:644,153.603241
6/1/2022,21:48:21:694,153.7102051
6/1/2022,21:49:21:694,162.5995026
6/1/2022,21:50:21:694,153.2014923
6/1/2022,21:51:21:694,149.5870667
6/1/2022,21:52:21:694,148.3470154
6/1/2022,21:53:21:694,147.5161743
6/1/2022,21:54:21:694,146.7425385
6/1/2022,21:55:21:694,147.0733795
6/1/2022,21:56:21:694,146.8072205
6/1/2022,21:57:21:694,146.7835846
6/1/2022,21:58:21:694,147.1927795
6/1/2022,21:59:21:694,147.8955231
6/1/2022,22:00:21:695,147.8930359
6/1/2022,22:01:21:694,148.4825897
